BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
LXCat-June2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
           1   0.000      0.3878E-01  0.1174E+27  0.3050E+25  0.2824E+27  0.7306E+25  0.2325E-14  0.1498E-14   0.000       0.000       0.000      0.3094E-29 -0.5432-207   0.000      0.6211       2.000       1.000    
           2   10.00       5.374      0.1053E+25  0.7895E+25  0.1381E+25  0.5917E+25  0.1148E-12  0.1670E-12  0.2209E-22  0.2098E-26  0.1053E-15  0.2302E-16  0.8228E-16  0.1187E-21   18.02       6.000       1.000    
           3   20.00       5.647      0.1001E+25  0.7718E+25  0.1317E+25  0.5782E+25  0.1231E-12  0.1757E-12  0.3279E-19  0.1637E-23  0.4005E-15  0.2611E-16  0.3742E-15  0.1852E-18   21.06       6.000       1.000    
           4   30.00       5.878      0.9445E+24  0.7555E+25  0.1264E+25  0.5693E+25  0.1297E-12  0.1862E-12  0.5148E-18  0.1817E-22  0.8500E-15  0.2858E-16  0.8184E-15  0.3026E-17   23.79       5.000       1.000    
           5   40.00       6.081      0.9019E+24  0.7423E+25  0.1224E+25  0.5629E+25  0.1352E-12  0.1950E-12  0.2406E-17  0.6669E-22  0.1443E-14  0.3073E-16  0.1398E-14  0.1463E-16   26.03       5.000       1.000    
           6   50.00       6.260      0.8704E+24  0.7315E+25  0.1193E+25  0.5582E+25  0.1400E-12  0.2021E-12  0.6684E-17  0.1536E-21  0.2176E-14  0.3266E-16  0.2101E-14  0.4183E-16   32.85       10.00       2.000    
           7   60.00       6.421      0.8464E+24  0.7221E+25  0.1169E+25  0.5547E+25  0.1441E-12  0.2078E-12  0.1405E-16  0.2767E-21  0.3047E-14  0.3439E-16  0.2922E-14  0.9022E-16   35.11       10.00       2.000    
           8   70.00       6.568      0.8276E+24  0.7139E+25  0.1149E+25  0.5522E+25  0.1478E-12  0.2125E-12  0.2497E-16  0.4309E-21  0.4055E-14  0.3598E-16  0.3856E-14  0.1639E-15   37.93       10.00       2.000    
           9   80.00       6.702      0.8124E+24  0.7064E+25  0.1134E+25  0.5503E+25  0.1511E-12  0.2165E-12  0.3967E-16  0.6104E-21  0.5200E-14  0.3743E-16  0.4896E-14  0.2658E-15   40.08       10.00       2.000    
          10   90.00       6.828      0.7998E+24  0.6995E+25  0.1121E+25  0.5490E+25  0.1540E-12  0.2199E-12  0.5831E-16  0.8101E-21  0.6478E-14  0.3879E-16  0.6041E-14  0.3980E-15   42.15       10.00       2.000    
          11   100.0       6.946      0.7890E+24  0.6932E+25  0.1110E+25  0.5482E+25  0.1567E-12  0.2229E-12  0.8093E-16  0.1026E-20  0.7890E-14  0.4006E-16  0.7288E-14  0.5620E-15   44.15       10.00       2.000    
          12   110.0       7.057      0.7794E+24  0.6872E+25  0.1100E+25  0.5477E+25  0.1592E-12  0.2257E-12  0.1075E-15  0.1254E-20  0.9431E-14  0.4126E-16  0.8631E-14  0.7587E-15   47.25       10.00       2.000    
          13   120.0       7.164      0.7711E+24  0.6816E+25  0.1092E+25  0.5476E+25  0.1615E-12  0.2281E-12  0.1381E-15  0.1493E-20  0.1110E-13  0.4240E-16  0.1007E-13  0.9893E-15   49.24       10.00       2.000    
          14   130.0       7.264      0.7637E+24  0.6764E+25  0.1086E+25  0.5480E+25  0.1636E-12  0.2303E-12  0.1727E-15  0.1739E-20  0.1291E-13  0.4349E-16  0.1161E-13  0.1254E-14   51.17       11.00       2.000    
          15   140.0       7.362      0.7568E+24  0.6715E+25  0.1079E+25  0.5483E+25  0.1656E-12  0.2324E-12  0.2111E-15  0.1992E-20  0.1483E-13  0.4453E-16  0.1323E-13  0.1554E-14   53.05       10.00       2.000    
          16   150.0       7.458      0.7506E+24  0.6668E+25  0.1074E+25  0.5489E+25  0.1675E-12  0.2343E-12  0.2534E-15  0.2251E-20  0.1689E-13  0.4553E-16  0.1495E-13  0.1890E-14   56.43       12.00       2.000    
          17   160.0       7.551      0.7451E+24  0.6627E+25  0.1069E+25  0.5498E+25  0.1693E-12  0.2361E-12  0.2996E-15  0.2513E-20  0.1907E-13  0.4651E-16  0.1676E-13  0.2263E-14   58.20       12.00       2.000    
          18   170.0       7.642      0.7396E+24  0.6587E+25  0.1065E+25  0.5508E+25  0.1710E-12  0.2378E-12  0.3496E-15  0.2780E-20  0.2138E-13  0.4745E-16  0.1866E-13  0.2672E-14   59.78       12.00       2.000    
          19   180.0       7.731      0.7346E+24  0.6551E+25  0.1061E+25  0.5520E+25  0.1726E-12  0.2394E-12  0.4032E-15  0.3049E-20  0.2380E-13  0.4837E-16  0.2063E-13  0.3118E-14   63.05       12.00       2.000    
          20   190.0       7.819      0.7301E+24  0.6517E+25  0.1058E+25  0.5535E+25  0.1741E-12  0.2409E-12  0.4607E-15  0.3321E-20  0.2636E-13  0.4926E-16  0.2270E-13  0.3603E-14   64.46       12.00       2.000    
          21   200.0       7.905      0.7256E+24  0.6485E+25  0.1054E+25  0.5550E+25  0.1756E-12  0.2424E-12  0.5218E-15  0.3595E-20  0.2903E-13  0.5014E-16  0.2485E-13  0.4125E-14   68.05       12.00       2.000    
          22   210.0       7.990      0.7215E+24  0.6455E+25  0.1052E+25  0.5568E+25  0.1770E-12  0.2438E-12  0.5866E-15  0.3871E-20  0.3182E-13  0.5100E-16  0.2708E-13  0.4688E-14   69.59       12.00       2.000    
          23   220.0       8.074      0.7175E+24  0.6427E+25  0.1049E+25  0.5586E+25  0.1784E-12  0.2451E-12  0.6549E-15  0.4148E-20  0.3473E-13  0.5184E-16  0.2939E-13  0.5288E-14   73.56       12.00       2.000    
          24   230.0       8.157      0.7136E+24  0.6402E+25  0.1046E+25  0.5605E+25  0.1797E-12  0.2465E-12  0.7266E-15  0.4427E-20  0.3775E-13  0.5267E-16  0.3177E-13  0.5928E-14   75.22       12.00       2.000    
          25   240.0       8.239      0.7100E+24  0.6378E+25  0.1044E+25  0.5625E+25  0.1810E-12  0.2477E-12  0.8019E-15  0.4706E-20  0.4090E-13  0.5348E-16  0.3423E-13  0.6609E-14   76.89       12.00       2.000    
          26   250.0       8.322      0.7066E+24  0.6356E+25  0.1041E+25  0.5648E+25  0.1822E-12  0.2489E-12  0.8808E-15  0.4987E-20  0.4416E-13  0.5429E-16  0.3678E-13  0.7331E-14   78.57       12.00       2.000    
          27   260.0       8.403      0.7032E+24  0.6334E+25  0.1039E+25  0.5670E+25  0.1834E-12  0.2501E-12  0.9631E-15  0.5268E-20  0.4754E-13  0.5509E-16  0.3939E-13  0.8095E-14   83.19       12.00       2.000    
          28   270.0       8.484      0.7000E+24  0.6315E+25  0.1037E+25  0.5695E+25  0.1846E-12  0.2513E-12  0.1049E-14  0.5549E-20  0.5103E-13  0.5588E-16  0.4208E-13  0.8900E-14   85.00       12.00       2.000    
          29   280.0       8.565      0.6969E+24  0.6297E+25  0.1035E+25  0.5720E+25  0.1857E-12  0.2524E-12  0.1138E-14  0.5831E-20  0.5463E-13  0.5666E-16  0.4483E-13  0.9747E-14   86.83       12.00       2.000    
          30   290.0       8.645      0.6938E+24  0.6280E+25  0.1034E+25  0.5746E+25  0.1868E-12  0.2535E-12  0.1230E-14  0.6114E-20  0.5835E-13  0.5743E-16  0.4766E-13  0.1064E-13   88.66       12.00       2.000    
          31   300.0       8.726      0.6911E+24  0.6265E+25  0.1032E+25  0.5774E+25  0.1879E-12  0.2545E-12  0.1326E-14  0.6396E-20  0.6220E-13  0.5820E-16  0.5057E-13  0.1157E-13   90.49       12.00       2.000    
          32   310.0       8.805      0.6881E+24  0.6251E+25  0.1030E+25  0.5801E+25  0.1889E-12  0.2556E-12  0.1425E-14  0.6679E-20  0.6613E-13  0.5896E-16  0.5352E-13  0.1255E-13   95.90       12.00       2.000    
