BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
LXCat-June2013.txt
How to reference in publications:
1) Yamabe, Buckman, and Phelps, Phys. Rev. 27, 1345 (1983). Revised Oct 1997
2) PHELPS database,http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013.
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A18         A20         A21         A22         A23         A27         A28         A29    
           1   7.000       5.247      0.1041E+25  0.7940E+25  0.1407E+25  0.5999E+25  0.1104E-12  0.1690E-12  0.5609E-25  0.7701E-29  0.5099E-16  0.2140E-16  0.2959E-16  0.2943E-24   16.72       6.000       1.000    
           2   10.97       5.405      0.1051E+25  0.7880E+25  0.1374E+25  0.5899E+25  0.1158E-12  0.1673E-12  0.7672E-22  0.6652E-26  0.1265E-15  0.2339E-16  0.1031E-15  0.4147E-21   18.36       6.000       1.000    
           3   14.94       5.517      0.1033E+25  0.7810E+25  0.1348E+25  0.5841E+25  0.1193E-12  0.1703E-12  0.2513E-20  0.1628E-24  0.2306E-15  0.2469E-16  0.2059E-15  0.1387E-19   19.62       6.000       1.000    
           4   18.91       5.620      0.1008E+25  0.7737E+25  0.1323E+25  0.5794E+25  0.1223E-12  0.1745E-12  0.2092E-19  0.1098E-23  0.3605E-15  0.2582E-16  0.3345E-15  0.1176E-18   20.76       6.000       1.000    
           5   22.88       5.717      0.9834E+24  0.7668E+25  0.1300E+25  0.5753E+25  0.1252E-12  0.1788E-12  0.8942E-19  0.3974E-23  0.5148E-15  0.2686E-16  0.4874E-15  0.5112E-18   21.82       6.000       1.000    
           6   26.85       5.809      0.9608E+24  0.7602E+25  0.1279E+25  0.5718E+25  0.1278E-12  0.1831E-12  0.2616E-18  0.1014E-22  0.6926E-15  0.2784E-16  0.6632E-15  0.1519E-17   23.05       5.000       1.000    
           7   30.82       5.896      0.9404E+24  0.7543E+25  0.1260E+25  0.5687E+25  0.1302E-12  0.1870E-12  0.6021E-18  0.2078E-22  0.8932E-15  0.2876E-16  0.8608E-15  0.3549E-17   23.98       5.000       1.000    
           8   34.79       5.979      0.9224E+24  0.7488E+25  0.1243E+25  0.5660E+25  0.1325E-12  0.1907E-12  0.1179E-17  0.3675E-22  0.1116E-14  0.2964E-16  0.1080E-14  0.7049E-17   24.88       5.000       1.000    
           9   38.76       6.057      0.9064E+24  0.7438E+25  0.1228E+25  0.5636E+25  0.1346E-12  0.1940E-12  0.2059E-17  0.5860E-22  0.1362E-14  0.3048E-16  0.1319E-14  0.1247E-16   25.76       5.000       1.000    
          10   42.73       6.132      0.8923E+24  0.7392E+25  0.1214E+25  0.5615E+25  0.1366E-12  0.1971E-12  0.3300E-17  0.8656E-22  0.1629E-14  0.3128E-16  0.1578E-14  0.2023E-16   26.61       5.000       1.000    
          11   46.70       6.203      0.8799E+24  0.7349E+25  0.1202E+25  0.5597E+25  0.1385E-12  0.1999E-12  0.4958E-17  0.1207E-21  0.1919E-14  0.3205E-16  0.1856E-14  0.3075E-16   32.09       10.00       2.000    
          12   50.67       6.271      0.8686E+24  0.7308E+25  0.1191E+25  0.5580E+25  0.1403E-12  0.2025E-12  0.7073E-17  0.1607E-21  0.2230E-14  0.3278E-16  0.2153E-14  0.4435E-16   33.01       10.00       2.000    
          13   54.64       6.337      0.8584E+24  0.7270E+25  0.1181E+25  0.5565E+25  0.1420E-12  0.2049E-12  0.9683E-17  0.2064E-21  0.2563E-14  0.3348E-16  0.2468E-14  0.6135E-16   33.91       10.00       2.000    
          14   58.61       6.400      0.8494E+24  0.7234E+25  0.1172E+25  0.5552E+25  0.1436E-12  0.2071E-12  0.1282E-16  0.2576E-21  0.2918E-14  0.3416E-16  0.2801E-14  0.8205E-16   34.81       10.00       2.000    
          15   62.58       6.460      0.8412E+24  0.7200E+25  0.1163E+25  0.5541E+25  0.1451E-12  0.2091E-12  0.1651E-16  0.3137E-21  0.3294E-14  0.3481E-16  0.3152E-14  0.1067E-15   36.32       10.00       2.000    
          16   66.55       6.518      0.8336E+24  0.7166E+25  0.1155E+25  0.5530E+25  0.1466E-12  0.2110E-12  0.2078E-16  0.3745E-21  0.3691E-14  0.3544E-16  0.3520E-14  0.1354E-15   37.19       10.00       2.000    
          17   70.52       6.575      0.8268E+24  0.7135E+25  0.1148E+25  0.5521E+25  0.1480E-12  0.2127E-12  0.2563E-16  0.4396E-21  0.4111E-14  0.3605E-16  0.3907E-14  0.1685E-15   38.05       10.00       2.000    
          18   74.48       6.629      0.8203E+24  0.7104E+25  0.1142E+25  0.5512E+25  0.1493E-12  0.2144E-12  0.3108E-16  0.5086E-21  0.4551E-14  0.3664E-16  0.4309E-14  0.2060E-15   38.90       10.00       2.000    
          19   78.45       6.682      0.8146E+24  0.7075E+25  0.1136E+25  0.5506E+25  0.1506E-12  0.2159E-12  0.3715E-16  0.5812E-21  0.5014E-14  0.3721E-16  0.4728E-14  0.2482E-15   39.75       10.00       2.000    
          20   82.42       6.733      0.8091E+24  0.7047E+25  0.1130E+25  0.5500E+25  0.1518E-12  0.2174E-12  0.4382E-16  0.6571E-21  0.5497E-14  0.3777E-16  0.5164E-14  0.2950E-15   40.60       10.00       2.000    
          21   86.39       6.783      0.8040E+24  0.7019E+25  0.1125E+25  0.5494E+25  0.1530E-12  0.2188E-12  0.5112E-16  0.7360E-21  0.6001E-14  0.3831E-16  0.5616E-14  0.3467E-15   41.42       10.00       2.000    
          22   90.36       6.832      0.7993E+24  0.6993E+25  0.1120E+25  0.5490E+25  0.1541E-12  0.2200E-12  0.5906E-16  0.8177E-21  0.6527E-14  0.3884E-16  0.6085E-14  0.4034E-15   42.22       10.00       2.000    
          23   94.33       6.880      0.7947E+24  0.6967E+25  0.1115E+25  0.5486E+25  0.1552E-12  0.2213E-12  0.6760E-16  0.9017E-21  0.7072E-14  0.3935E-16  0.6568E-14  0.4650E-15   43.02       10.00       2.000    
          24   98.30       6.926      0.7907E+24  0.6942E+25  0.1111E+25  0.5483E+25  0.1563E-12  0.2224E-12  0.7681E-16  0.9882E-21  0.7641E-14  0.3985E-16  0.7069E-14  0.5319E-15   43.81       10.00       2.000    
          25   102.3       6.972      0.7866E+24  0.6918E+25  0.1107E+25  0.5480E+25  0.1573E-12  0.2236E-12  0.8661E-16  0.1077E-20  0.8228E-14  0.4034E-16  0.7584E-14  0.6037E-15   44.60       10.00       2.000    
          26   106.2       7.016      0.7829E+24  0.6894E+25  0.1104E+25  0.5479E+25  0.1583E-12  0.2247E-12  0.9706E-16  0.1167E-20  0.8837E-14  0.4082E-16  0.8115E-14  0.6809E-15   46.50       10.00       2.000    
          27   110.2       7.060      0.7792E+24  0.6871E+25  0.1100E+25  0.5477E+25  0.1592E-12  0.2257E-12  0.1081E-15  0.1259E-20  0.9465E-14  0.4128E-16  0.8661E-14  0.7632E-15   47.29       10.00       2.000    
          28   114.2       7.103      0.7759E+24  0.6848E+25  0.1097E+25  0.5476E+25  0.1602E-12  0.2267E-12  0.1198E-15  0.1353E-20  0.1012E-13  0.4174E-16  0.9223E-14  0.8509E-15   48.08       10.00       2.000    
          29   118.2       7.145      0.7727E+24  0.6826E+25  0.1094E+25  0.5476E+25  0.1611E-12  0.2276E-12  0.1322E-15  0.1448E-20  0.1079E-13  0.4219E-16  0.9800E-14  0.9442E-15   48.87       10.00       2.000    
          30   122.1       7.186      0.7695E+24  0.6805E+25  0.1091E+25  0.5476E+25  0.1619E-12  0.2286E-12  0.1451E-15  0.1544E-20  0.1148E-13  0.4263E-16  0.1039E-13  0.1042E-14   49.67       10.00       2.000    
          31   126.1       7.227      0.7665E+24  0.6785E+25  0.1088E+25  0.5477E+25  0.1628E-12  0.2295E-12  0.1587E-15  0.1642E-20  0.1219E-13  0.4307E-16  0.1100E-13  0.1147E-14   50.43       10.00       2.000    
          32   130.1       7.264      0.7637E+24  0.6764E+25  0.1086E+25  0.5480E+25  0.1636E-12  0.2303E-12  0.1729E-15  0.1741E-20  0.1292E-13  0.4349E-16  0.1162E-13  0.1256E-14   51.18       11.00       2.000    
          33   134.0       7.304      0.7609E+24  0.6744E+25  0.1083E+25  0.5481E+25  0.1644E-12  0.2312E-12  0.1877E-15  0.1840E-20  0.1367E-13  0.4391E-16  0.1225E-13  0.1371E-14   51.94       10.00       2.000    
          34   138.0       7.343      0.7581E+24  0.6724E+25  0.1081E+25  0.5482E+25  0.1652E-12  0.2320E-12  0.2031E-15  0.1941E-20  0.1444E-13  0.4432E-16  0.1290E-13  0.1491E-14   52.69       10.00       2.000    
          35   142.0       7.381      0.7556E+24  0.6706E+25  0.1078E+25  0.5484E+25  0.1660E-12  0.2328E-12  0.2191E-15  0.2043E-20  0.1523E-13  0.4473E-16  0.1357E-13  0.1618E-14   53.41       10.00       2.000    
          36   145.9       7.419      0.7531E+24  0.6687E+25  0.1076E+25  0.5487E+25  0.1667E-12  0.2335E-12  0.2358E-15  0.2145E-20  0.1604E-13  0.4513E-16  0.1425E-13  0.1750E-14   55.68       10.00       2.000    
          37   149.9       7.457      0.7507E+24  0.6669E+25  0.1074E+25  0.5489E+25  0.1675E-12  0.2343E-12  0.2530E-15  0.2248E-20  0.1687E-13  0.4552E-16  0.1494E-13  0.1887E-14   56.41       12.00       2.000    
          38   153.9       7.494      0.7484E+24  0.6651E+25  0.1072E+25  0.5492E+25  0.1682E-12  0.2350E-12  0.2709E-15  0.2352E-20  0.1772E-13  0.4592E-16  0.1565E-13  0.2030E-14   57.14       12.00       2.000    
          39   157.8       7.531      0.7462E+24  0.6635E+25  0.1070E+25  0.5496E+25  0.1689E-12  0.2357E-12  0.2894E-15  0.2457E-20  0.1859E-13  0.4630E-16  0.1637E-13  0.2180E-14   57.83       12.00       2.000    
          40   161.8       7.568      0.7440E+24  0.6620E+25  0.1069E+25  0.5500E+25  0.1696E-12  0.2364E-12  0.3084E-15  0.2562E-20  0.1948E-13  0.4668E-16  0.1710E-13  0.2335E-14   58.50       12.00       2.000    
